brushed metal
cracked leather
frosted glass
rough stone
smooth silk
aged wood grain
rusted iron
hammered brass
distressed denim
embossed leather
woven burlap
polished marble
raw concrete
chiseled stone
corrugated cardboard
crinkled paper
weathered wood
cast iron
etched glass
knitted wool
tufted velvet
cork surface
wicker weave
charred wood
pebbled rubber
seersucker fabric
fishnet mesh
mossy rock
driftwood grain
porcelain glaze
pumice stone
cracked ice
quilted fabric
ribbed corduroy
waffle knit textile
